DateTime,DeltaT,BlockStatus,MessageType,Bus,Rx_cmd,Tx_cmd,Tx_status,Rx_status,word_count,datawords,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31
00:00:00,39.718,3,8001,RT->BA,A,8BC0 05-T-60-27,8BC0 05-T-60-27-->,100,0,32,0x612C,0x3597,0x6A95,0x4BCD,0xFD52,0xC9CC,0xAE4A,0x040C,0x09C8,0x662B,0x8BF6,0xC66E,0x24C0,0x492E,0x78BD,0xB5A7,0xBEEC,0x5FD6,0xD268,0x2623,0x797C,0xEE3E,0x875D,0xAB92,0xB667,0x524C,0x21D3,0x144D,0x6053,0xA188,0xCC88,0x9E7E
00:00:39,14.623,3,8001,RT->BA,A,DBC0 10-T-64-72,DBC0 10-T-64-72-->,900,0,32,0xA4DB,0x23A5,0x7E55,0x8541,0x60AF,0xBB15,0x1CAD,0x5F84,0xD7AF,0xBC45,0x10B9,0x2764,0x4EA9,0x0FF3,0xBBAD,0x3784,0x132C,0x749F,0xAE74,0x5B70,0xFB83,0x6AB2,0x6702,0xA787,0x1142,0x0547,0x8511,0x19D3,0x6AE7,0xAF05,0x0624,0xD760
00:00:53,76.03,2,8000,BC->RT,B,9BC0 04-T-74-18,9BC0 04-T-74-18-->,500,0,32,0xCAE8,0xAF0E,0xFF5E,0xCF8F,0xCC0E,0x040F,0xE9F3,0x1919,0x3647,0xE4B0,0x84FA,0xF1DB,0x5CF9,0x442F,0x73FD,0x8303,0x5C61,0x6E47,0x64DF,0x4C6D,0xE5C2,0x8440,0x71A6,0x44EF,0xDC6C,0xB024,0x4EA9,0x42A3,0x02F8,0x23BE,0xD6C0,0x7AF5
00:02:09,44.27,2,8001,BC->RT,B,DBC0 09-T-18-88,DBC0 09-T-18-88-->,300,0,32,0x428D,0x268A,0x7BE1,0x1EE2,0x61F5,0xF888,0x4580,0x93CA,0xEA53,0xE8A9,0x9D3B,0x406F,0x5C73,0x251C,0x2F42,0xC2C5,0xB273,0x8749,0x1548,0x8482,0xDAB5,0xA0C0,0xB1C6,0x7E48,0x4C17,0x3852,0x6505,0xCD9C,0xA3FC,0x1AA2,0xBC59,0xA5D0
00:02:53,46.183,2,8000,RT->AB,C,0BC0 09-T-72-76,0BC0 09-T-72-76-->,0,0,32,0x3EDC,0x6F09,0xA402,0x16F3,0xC66B,0xE1BE,0x4304,0x2418,0x95D9,0x36DB,0x8890,0xEFCF,0x8C7D,0x09BB,0xDDDB,0xCA93,0xCEFA,0xB589,0xF099,0x5DC8,0x539B,0x5111,0xA930,0x4172,0x0D0D,0xAE50,0x5981,0x0605,0x266C,0x65D3,0x9C5D,0x9906
00:03:39,58.195,1,8000,RT->BC,D,5BC0 03-T-96-48,5BC0 03-T-96-48-->,800,0,32,0x0B5E,0x5D90,0x9C1E,0xA761,0x7A1B,0xFB4D,0xBA5C,0x21B6,0x6782,0x474B,0x0822,0x9375,0xFCF0,0x82B1,0xCD20,0xE8AE,0x6389,0xF245,0x07B7,0x4E62,0xEBB5,0x7BB2,0x0972,0xEB90,0x1452,0xF6D8,0xBC3F,0x5885,0x0A48,0x4447,0xA39A,0xF623
00:04:37,34.173,1,8001,RT->AB,A,ABC0 07-T-49-33,ABC0 07-T-49-33-->,500,0,32,0xEE0E,0xF8FD,0xC3C6,0x3BC3,0x08D3,0x3634,0x6D90,0xA476,0xB8AE,0x2FC2,0xC805,0x9555,0xBA99,0xA72C,0xB32A,0x4546,0x5EA1,0xB3A8,0x747D,0x2CC3,0x7741,0xE096,0xAC15,0xDCD3,0xE4BF,0x8168,0x45A9,0x296F,0x16E9,0x1850,0x7124,0x22E3
00:05:11,12.744,3,8000,RT->BA,B,1BC0 02-T-45-84,1BC0 02-T-45-84-->,500,0,32,0x4633,0x9227,0xC6BD,0x5D62,0x59B2,0xDA4D,0xE997,0x4186,0xC150,0x2120,0x8F6B,0x01E3,0xB472,0xEF00,0xDBDC,0x37B0,0xF16B,0xCDB0,0x97E5,0x8524,0x5957,0x8FEF,0x284E,0x97D2,0xE088,0x2059,0x2693,0xEFF2,0xA933,0xEEB6,0x25A5,0x3BB0
00:05:23,53.371,2,8010,RT->BC,D,7BC0 01-T-16-68,7BC0 01-T-16-68-->,800,0,32,0xD978,0xFD67,0x1A04,0xC81F,0x0DF2,0xC0C4,0xC8C1,0x5ED5,0x4D78,0x7D23,0x71F9,0xF0F5,0x078C,0xE733,0xA795,0x88A4,0xB056,0x34CE,0xEC49,0xC9BA,0x4CD6,0x80CA,0xC1CB,0x5048,0x506B,0xD79E,0x4F99,0xF89E,0x89D5,0xA800,0x0953,0x0F42
00:06:16,57.43,3,8000,BC->RT,A,CBC0 05-T-67-19,CBC0 05-T-67-19-->,300,0,32,0x1880,0xB7F2,0x1913,0xCD06,0x27C7,0x212C,0xFB0D,0x65E6,0x1655,0xED3E,0xA54B,0xA575,0x9503,0x26A7,0xE3C0,0x1111,0xE4D5,0x96B1,0xBB0E,0x7AAE,0x35D8,0xFC83,0xBA5B,0x5894,0x9FC5,0x4DE1,0x28A0,0xDB3D,0x61CD,0xCE9C,0x269E,0x5312
